baro,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.38,-0.25,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.4,-0.23,-0.33
966.19,0.03,-0.01,1.03,0.44,-0.14,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.1,-0.35
966.19,0.03,-0.01,1.03,0.3,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.28
966.19,0.03,-0.01,1.02,0.33,-0.21,-0.37
966.19,0.03,-0.01,1.03,0.4,-0.12,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.3,-0.19,-0.25
966.19,0.03,-0.01,1.02,0.4,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.16,-0.28
966.19,0.03,-0.01,1.02,0.31,-0.12,-0.38
966.19,0.03,-0.01,1.02,0.42,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.33
966.19,0.03,-0.01,1.02,0.44,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.12,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.25
966.19,0.03,-0.01,1.03,0.51,-0.1,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.17,-0.23
966.19,0.03,-0.01,1.03,0.33,-0.25,-0.28
966.19,0.03,-0.01,1.02,0.37,-0.23,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.31,-0.17,-0.28
966.19,0.02,-0.01,1.03,0.35,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.21
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.4,-0.23,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.42,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.35
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.25
966.19,0.03,-0.01,1.02,0.33,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.4,-0.23,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.12,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.25,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.37
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.3,-0.17,-0.35
966.19,0.03,-0.01,1.03,0.38,-0.1,-0.37
966.19,0.03,-0.01,1.03,0.33,-0.23,-0.38
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.31
966.19,0.03,-0.01,1.03,0.42,-0.21,-0.25
966.19,0.03,-0.01,1.03,0.37,-0.25,-0.35
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.3,-0.23,-0.31
966.19,0.03,-0.01,1.03,0.54,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.21
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.1,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.31,-0.14,-0.35
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.28
966.19,0.03,-0.01,1.02,0.3,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.23,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.12,-0.37
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.3
966.19,0.03,-0.01,1.02,0.35,-0.19,-0.31
966.19,0.03,-0.01,1.02,0.37,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.35,-0.23,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.28
966.19,0.03,-0.01,1.02,0.42,-0.16,-0.37
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.47,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.46,-0.17,-0.35
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.33
966.19,0.03,-0.01,1.03,0.44,-0.17,-0.21
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.3,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.35
966.19,0.03,-0.01,1.03,0.46,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.31,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.33,-0.07,-0.25
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.4,-0.12,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.23
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.25,-0.33
966.19,0.03,-0.01,1.03,0.35,-0.28,-0.35
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.44,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.37,-0.12,-0.26
966.19,0.03,-0.01,1.02,0.31,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.37
966.19,0.03,-0.01,1.03,0.3,-0.23,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.49,-0.05,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.47,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.42,-0.12,-0.25
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.31,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.31
966.19,0.03,-0.01,1.02,0.37,-0.16,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.3
966.19,0.03,-0.01,1.02,0.28,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.12,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.23
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.23
966.19,0.03,-0.01,1.03,0.46,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.23
966.19,0.03,-0.01,1.03,0.33,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.31
966.19,0.03,-0.01,1.02,0.44,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.4,-0.1,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.35
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.26,-0.33
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.28,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.42,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.25
966.19,0.03,-0.01,1.02,0.31,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.23
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.25
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.23
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.33
966.19,0.03,-0.01,1.02,0.37,-0.17,-0.33
966.19,0.03,-0.01,1.02,0.3,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.1,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.23,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.28
966.19,0.03,-0.01,1.02,0.38,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.31,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.46,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.33,-0.12,-0.37
966.19,0.03,-0.01,1.03,0.47,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.25,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.31
966.19,0.03,-0.01,1.02,0.37,-0.14,-0.35
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.23
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.12,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.23
966.19,0.03,-0.01,1.02,0.33,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.21
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.14,-0.37
966.19,0.03,-0.01,1.03,0.33,-0.16,-0.35
966.19,0.02,-0.01,1.03,0.33,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.26,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.23,-0.25
966.19,0.03,-0.01,1.03,0.31,-0.28,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.35,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.46,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.25,-0.3
966.19,0.03,-0.01,1.02,0.4,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.25,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.09,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.28,-0.23,-0.31
966.19,0.03,-0.01,1.03,0.31,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.44,-0.17,-0.37
966.19,0.03,-0.01,1.03,0.46,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.47,-0.14,-0.25
966.19,0.03,-0.01,1.03,0.49,-0.1,-0.3
966.19,0.03,-0.01,1.02,0.44,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.26,-0.26
966.19,0.03,-0.01,1.03,0.31,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.21,-0.38
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.44,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.35
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.33,-0.25,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.26,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.49,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.17,-0.31
966.19,0.03,-0.01,1.02,0.38,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.33,-0.16,-0.23
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.33
966.19,0.03,-0.01,1.03,0.4,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.25,-0.31
966.19,0.03,-0.01,1.03,0.4,-0.16,-0.37
966.19,0.03,-0.01,1.02,0.35,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.35
966.19,0.03,-0.01,1.02,0.33,-0.17,-0.37
966.19,0.03,-0.01,1.03,0.42,-0.26,-0.21
966.19,0.03,-0.01,1.03,0.44,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.26
966.19,0.03,-0.01,1.02,0.42,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.47,-0.23,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.46,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.25
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.25,-0.28
966.19,0.03,-0.01,1.03,0.46,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.46,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.1,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.46,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.44,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.46,-0.23,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.23
966.19,0.03,-0.01,1.03,0.44,-0.12,-0.26
966.19,0.03,-0.01,1.02,0.33,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.07,-0.3
966.19,0.03,-0.01,1.02,0.4,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.25
966.19,0.03,-0.01,1.03,0.44,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.26
966.19,0.03,-0.01,1.02,0.38,-0.1,-0.3
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.21
966.19,0.03,-0.01,1.03,0.4,-0.1,-0.35
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.35
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.23,-0.21
966.19,0.03,-0.01,1.03,0.33,-0.25,-0.31
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.28
966.19,0.03,-0.01,1.03,0.31,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.07,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.12,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.25
966.19,0.03,-0.01,1.03,0.44,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.31,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.49,-0.25,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.46,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.46,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.25
966.19,0.03,-0.01,1.03,0.31,-0.26,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.12,-0.3
966.19,0.03,-0.01,1.03,0.42,-0.16,-0.37
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.28,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.25,-0.31
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.33,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.44,-0.21,-0.31
966.19,0.03,-0.01,1.03,0.33,-0.12,-0.26
966.19,0.03,-0.01,1.03,0.4,-0.25,-0.28
966.19,0.03,-0.01,1.03,0.47,-0.17,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.1,-0.23
966.19,0.03,-0.01,1.03,0.4,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.44,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.31
966.19,0.02,-0.01,1.03,0.31,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.33,-0.26,-0.4
966.19,0.03,-0.01,1.03,0.35,-0.12,-0.25
966.19,0.03,-0.01,1.03,0.47,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.23,-0.33
966.19,0.03,-0.01,1.02,0.4,-0.25,-0.37
966.19,0.03,-0.01,1.03,0.42,-0.19,-0.28
966.19,0.03,-0.01,1.02,0.49,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.44,-0.12,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.26
966.19,0.03,-0.01,1.03,0.46,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.23,-0.25
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.35
966.19,0.03,-0.01,1.03,0.4,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.28,-0.16,-0.35
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.4,-0.16,-0.37
966.19,0.03,-0.01,1.03,0.33,-0.12,-0.33
966.19,0.03,-0.01,1.03,0.33,-0.16,-0.33
966.19,0.03,-0.01,1.03,0.33,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.33,-0.14,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.23,-0.28
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.37,-0.16,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.31
966.19,0.03,-0.01,1.02,0.42,-0.17,-0.25
966.19,0.03,-0.01,1.03,0.3,-0.23,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.31
966.19,0.03,-0.01,1.03,0.47,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.42,-0.12,-0.31
966.19,0.03,-0.01,1.03,0.31,-0.23,-0.33
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.37
966.19,0.03,-0.01,1.03,0.33,-0.19,-0.28
966.19,0.03,-0.01,1.03,0.42,-0.23,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.14,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.28
966.19,0.03,-0.01,1.03,0.33,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.19,-0.37
966.19,0.03,-0.01,1.02,0.33,-0.09,-0.3
966.19,0.03,-0.01,1.03,0.46,-0.12,-0.23
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.33
966.19,0.03,-0.01,1.03,0.37,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.37,-0.17,-0.23
966.19,0.03,-0.01,1.03,0.38,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.25
966.19,0.03,-0.01,1.03,0.42,-0.25,-0.25
966.19,0.03,-0.01,1.03,0.42,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.37,-0.12,-0.28
966.19,0.03,-0.01,1.03,0.46,-0.21,-0.33
966.19,0.03,-0.01,1.03,0.31,-0.14,-0.3
966.19,0.03,-0.01,1.03,0.35,-0.14,-0.26
966.19,0.03,-0.01,1.03,0.49,-0.1,-0.3
966.19,0.03,-0.01,1.03,0.37,-0.14,-0.23
966.19,0.03,-0.01,1.03,0.38,-0.17,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.23,-0.28
966.19,0.03,-0.01,1.03,0.35,-0.19,-0.26
966.19,0.03,-0.01,1.03,0.38,-0.21,-0.3
966.19,0.03,-0.01,1.03,0.38,-0.09,-0.25
966.19,0.03,-0.01,1.03,0.35,-0.21,-0.25
966.19,0.03,-0.01,1.03,0.35,-0.17,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.28,-0.28
966.19,0.03,-0.01,1.03,0.4,-0.26,-0.21
966.19,0.03,-0.01,1.03,0.42,-0.16,-0.31
966.19,0.03,-0.01,1.03,0.38,-0.23,-0.3
