baro,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp
965.81,-0.04,0.00,-0.32,0.00,-0.00,0.00,21.25,-6.25,-66.06,25.98
965.81,-0.04,0.00,-0.33,-0.00,0.00,0.00,20.25,-5.88,-66.75,25.98
965.81,-0.02,0.02,-0.32,0.00,0.00,0.00,20.25,-5.88,-66.75,25.98
965.81,-0.02,0.00,-0.33,0.00,0.00,0.00,20.25,-5.88,-66.75,25.98
965.81,-0.02,0.03,-0.32,-0.00,0.00,0.00,20.25,-5.88,-66.75,25.98
965.81,0.00,0.00,-0.32,0.00,-0.00,0.00,20.25,-5.88,-66.75,25.98
965.81,-0.05,-0.01,-0.32,-0.00,0.00,0.00,20.25,-5.88,-66.38,25.98
965.81,-0.02,0.00,-0.33,0.00,-0.00,0.00,20.25,-5.88,-66.38,25.98
965.81,-0.01,0.00,-0.33,0.00,-0.00,0.00,20.25,-5.88,-66.38,25.98
965.81,-0.05,0.02,-0.33,0.00,0.00,0.00,20.25,-5.88,-66.38,25.98
965.81,-0.03,0.01,-0.33,0.00,0.00,0.00,20.25,-5.88,-66.38,25.98
965.81,0.00,0.00,-0.33,0.00,-0.00,0.00,20.56,-6.25,-66.06,25.98
965.81,-0.03,0.02,-0.33,0.00,0.00,-0.00,20.56,-6.25,-66.06,25.98
965.81,-0.03,0.00,-0.33,0.00,0.00,-0.00,20.56,-6.25,-66.06,25.98
965.81,0.00,0.02,-0.34,0.00,-0.00,0.00,20.56,-6.25,-66.06,25.98
965.81,0.00,0.02,-0.34,0.00,0.00,0.00,20.56,-6.25,-66.06,25.98
965.81,-0.04,0.02,-0.32,0.00,0.00,-0.00,20.56,-6.25,-66.06,25.98
965.81,-0.03,0.00,-0.33,0.00,-0.00,-0.00,19.50,-7.00,-66.75,25.98
